GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Study Backend,ru.ssau.carshwebcourse.entity,UserRole,0,15,0,0,0,3,0,1,0,1
Study Backend,ru.ssau.carshwebcourse.entity,TariffType,0,15,0,0,0,3,0,1,0,1
Study Backend,ru.ssau.carshwebcourse.entity,PaymentStatus,0,15,0,0,0,3,0,1,0,1
Study Backend,ru.ssau.carshwebcourse.entity,DriveStatus,0,27,0,0,0,5,0,1,0,1
Study Backend,ru.ssau.carshwebcourse.entity,PaymentMethod,0,15,0,0,0,3,0,1,0,1
Study Backend,ru.ssau.carshwebcourse.entity,CarStatus,0,21,0,0,0,4,0,1,0,1
Study Backend,ru.ssau.carshwebcourse.entity,Role,6,0,0,0,3,0,1,0,1,0
Study Backend,ru.ssau.carshwebcourse.filters,JwtFilter,171,174,26,0,45,8,16,3,3,3
Study Backend,ru.ssau.carshwebcourse.config,SecurityConfig,0,215,0,0,0,34,0,9,0,9
Study Backend,ru.ssau.carshwebcourse,CarshWebCourseApplication,5,3,0,0,2,1,1,1,1,1
Study Backend,ru.ssau.carshwebcourse.mapping,DriveMappingUtils,92,6,0,0,24,3,2,1,2,1
Study Backend,ru.ssau.carshwebcourse.mapping,TariffMappingUtils,44,3,0,0,12,1,2,1,2,1
Study Backend,ru.ssau.carshwebcourse.mapping,PaymentMappingUtils,60,3,0,0,16,1,2,1,2,1
Study Backend,ru.ssau.carshwebcourse.mapping,CarMappingUtils,60,3,0,0,16,1,2,1,2,1
Study Backend,ru.ssau.carshwebcourse.mapping,UserMappingUtils,84,3,0,0,22,1,2,1,2,1
Study Backend,ru.ssau.carshwebcourse.exceptionHandler,InvalidTokenException,4,0,0,0,2,0,1,0,1,0
Study Backend,ru.ssau.carshwebcourse.exceptionHandler,TokenCreatedTimeException,4,0,0,0,2,0,1,0,1,0
Study Backend,ru.ssau.carshwebcourse.exceptionHandler,GlobalExceptionHandler,53,3,0,0,7,1,7,1,7,1
Study Backend,ru.ssau.carshwebcourse.exceptionHandler,CarIsNotFreeException,4,0,0,0,2,0,1,0,1,0
Study Backend,ru.ssau.carshwebcourse.controller,UserController,14,6,0,0,3,3,2,1,2,1
Study Backend,ru.ssau.carshwebcourse.controller,PaymentController,19,9,0,0,2,4,2,1,2,1
Study Backend,ru.ssau.carshwebcourse.controller,DriveController,67,9,0,0,11,4,7,1,7,1
Study Backend,ru.ssau.carshwebcourse.controller,AuthController,89,12,0,0,17,5,4,1,4,1
Study Backend,ru.ssau.carshwebcourse.controller,TariffController,27,6,0,0,5,3,4,1,4,1
Study Backend,ru.ssau.carshwebcourse.controller,CarController,41,6,0,0,7,3,6,1,6,1
Study Backend,ru.ssau.carshwebcourse.dto,PaymentDto,3,0,0,0,1,0,1,0,1,0
Study Backend,ru.ssau.carshwebcourse.dto,TariffDto,3,0,0,0,1,0,1,0,1,0
Study Backend,ru.ssau.carshwebcourse.dto,CarDto,3,0,0,0,1,0,1,0,1,0
Study Backend,ru.ssau.carshwebcourse.dto,DriveDto,3,0,0,0,1,0,1,0,1,0
Study Backend,ru.ssau.carshwebcourse.service,TokenService.new TypeReference() {...},6,0,0,0,1,0,1,0,1,0
Study Backend,ru.ssau.carshwebcourse.service,CustomUserDetailsService,102,12,0,0,14,5,8,1,8,1
Study Backend,ru.ssau.carshwebcourse.service,TokenService,178,3,4,0,43,1,8,1,6,1
Study Backend,ru.ssau.carshwebcourse.service,CarService,81,9,0,0,12,4,6,1,6,1
Study Backend,ru.ssau.carshwebcourse.service,PaymentService,41,12,0,0,7,5,2,1,2,1
Study Backend,ru.ssau.carshwebcourse.service,DriveService,259,18,10,0,48,7,14,1,9,1
Study Backend,ru.ssau.carshwebcourse.service,TariffService,42,12,0,0,7,5,4,1,4,1
